name,star,number_of_reviewer,price,cost,discount,longitude,latitude,score_level,address,link
The Sóng Căn Hộ Cho Thuê Full Tiện Ích,8.3,8,2592000,4320000,40,10.3500246,107.0958627,High,"
28 Đường Thi Sách, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/the-song-can-ho-cho-thue-full-tien-ich.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=1089916102_381893752_0_0_0&highlighted_blocks=1089916102_381893752_0_0_0&matching_block_id=1089916102_381893752_0_0_0&sr_pri_blocks=1089916102_381893752_0_0_0__259200000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Sun Hill Hotel,9.3,0,1047600,2327999,55,10.3359411,107.08158879,High,"
H60 Phan Chu Trinh, Phường 2, Thành Phố Vũng Tàu, Việt Nam H60 Phan Chu Trinh, Phường 2, Tp. Vũng Tàu, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/sun-hill.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=699749301_288288560_2_0_0&highlighted_blocks=699749301_288288560_2_0_0&matching_block_id=699749301_288288560_2_0_0&sr_pri_blocks=699749301_288288560_2_0_0__104760000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The Song Vung Tau Near Beach,8.5,206,1939601,3128388,38,10.3500712,107.09593,medium,"
28 Đường Thi Sách, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/the-song-vung-tau-apartment-pool-near-beach-vung-tau.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=1018205401_374297377_2_0_0&highlighted_blocks=1018205401_374297377_2_0_0&matching_block_id=1018205401_374297377_2_0_0&sr_pri_blocks=1018205401_374297377_2_0_0__193960100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CAROLINE SEA HOTEL,7.9,241,664077,664077,0,10.33586139,107.08676546,medium,"
151 Đường Hoàng Hoa Thám, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/caroline-sea.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=1042952404_0_2_0_0&highlighted_blocks=1042952404_0_2_0_0&matching_block_id=1042952404_0_2_0_0&sr_pri_blocks=1042952404_0_2_0_0__66407702&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The Sóng Vũng Tàu Căn Hộ Du Lịch Ven Biển,9.3,22,2100000,4200000,50,10.35020402,107.09592707,High,"
28 Đường Thi Sách, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/the-song-apartment-vung-tau-vung-tau11.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=1090486304_381940424_2_0_0&highlighted_blocks=1090486304_381940424_2_0_0&matching_block_id=1090486304_381940424_2_0_0&sr_pri_blocks=1090486304_381940424_2_0_0__210000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The Sóng Vũng Tàu - Căn Hộ Du Lịch Ven Biển,8.8,77,2209660,4419320,50,10.35016369,107.09616663,High,"
28 Đường Thi Sách, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/the-song-vung-tau-can-ho-du-lich-cao-cap-ven-bien.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=1039103604_376385273_0_0_0&highlighted_blocks=1039103604_376385273_0_0_0&matching_block_id=1039103604_376385273_0_0_0&sr_pri_blocks=1039103604_376385273_0_0_0__220966000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CĂN HỘ CONDOTEL 5 SAO THE SONG VŨNG TÀU - Apartment 5 Star Luxury The Song Vung Tau,8.3,162,1805000,3610000,50,10.35014515,107.09649499,High,"
28 Đường Thi Sách, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/can-ho-the-song-vung-tau-vung-tau13.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=926869003_383719607_0_0_0&highlighted_blocks=926869003_383719607_0_0_0&matching_block_id=926869003_383719607_0_0_0&sr_pri_blocks=926869003_383719607_0_0_0__180500000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CONDOTEL THE SÓNG AN GIA VŨNG TÀU APARTMENT,9.5,13,1800000,3000000,40,10.3500246,107.0958627,High,"
28 Đường Thi Sách 36, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/condotel-the-song-an-gia-vung-tau-apartment.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=1074275402_379980335_2_0_0&highlighted_blocks=1074275402_379980335_2_0_0&matching_block_id=1074275402_379980335_2_0_0&sr_pri_blocks=1074275402_379980335_2_0_0__180000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Milan Homestay - Milanesa Hotel and Apartment,8.2,0,712000,712000,0,10.34050206,107.07634665,medium,"
 149 Vo Thi Sau, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/vung-tau-melody-apartment-thanh-pho-vung-tau12.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=494168518_344324338_3_0_0&highlighted_blocks=494168518_344324338_3_0_0&matching_block_id=494168518_344324338_3_0_0&sr_pri_blocks=494168518_344324338_3_0_0__71200000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The Song Yuki Apartment,8.5,207,3780000,12600000,70,10.3500712,107.09593,High,"
The Song building, Block A, tsc-28.18, 28 Thi Sach, phuong Thang Tam, Vung Tau, Vung Tau, Vietnam
",https://www.booking.com/hotel/vn/the-song-ana-apartment.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKnv4irBsACAdICJDZhMjZkZmE2LWM2OGEtNGM1Ny04NjA1LWI3YjI4MzhkOTA3YtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=525f735946de00c2&srepoch=1700929463&all_sr_blocks=1002285703_373324103_2_0_0&highlighted_blocks=1002285703_373324103_2_0_0&matching_block_id=1002285703_373324103_2_0_0&sr_pri_blocks=1002285703_373324103_2_0_0__378000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
