name,star,number_of_reviewer,price,cost,discount,longitude,latitude,score_level,address,link
Marina Homestay Nguyên Căn,10.0,3,1026000,2280000,55,11.9402212,108.41841151,High,"
An Tôn, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/marina-homestay-nguyen-can.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=1095683901_382474511_2_0_0&highlighted_blocks=1095683901_382474511_2_0_0&matching_block_id=1095683901_382474511_2_0_0&sr_pri_blocks=1095683901_382474511_2_0_0__102600000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Fleur 2 Luxury Garden Hotel,9.2,325,1403281,2338801,40,11.924684,108.437038,High,"
57 An Bình, P.3, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/strawberry-garden.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=316117866_130051542_2_2_0&highlighted_blocks=316117866_130051542_2_2_0&matching_block_id=316117866_130051542_2_2_0&sr_pri_blocks=316117866_130051542_2_2_0__140328100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bazan Hotel Dalat - STAY 24H,9.0,0,648000,1800000,64,11.92824835,108.44512304,medium,"
36 To Hien Thanh , Da Lat, Vietnam
",https://www.booking.com/hotel/vn/bazan-hotel-dalat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=290430206_383363009_2_0_0&highlighted_blocks=290430206_383363009_2_0_0&matching_block_id=290430206_383363009_2_0_0&sr_pri_blocks=290430206_383363009_2_0_0__64800000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Four Spring Villas & Golfs Da Lat,9.4,5,1182600,1620000,27,11.95422805,108.39302246,High,"
Thôn Đa Nghịt 1, Xã Lát, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/four-spring-villas-and-golfs-da-lat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=1087140307_383718019_2_1_0&highlighted_blocks=1087140307_383718019_2_1_0&matching_block_id=1087140307_383718019_2_1_0&sr_pri_blocks=1087140307_383718019_2_1_0__118260000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
AN Boutique Hotel - STAY 24H,8.8,0,648000,1800000,64,11.94833781,108.43961489,medium,"
138 Bùi Thị Xuân, phường 2, thành phố Đà Lạt, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/raon-villa-da-lat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=725327309_377339148_2_0_0&highlighted_blocks=725327309_377339148_2_0_0&matching_block_id=725327309_377339148_2_0_0&sr_pri_blocks=725327309_377339148_2_0_0__64800000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Raon Dalat - STAY 24H,9.2,0,648000,1800000,64,11.96217116,108.44034794,medium,"
46 Tran Khanh Du, Ward 8, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/reddoorz-near-thung-lung-tinh-yeu.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=563346001_383077743_2_0_0&highlighted_blocks=563346001_383077743_2_0_0&matching_block_id=563346001_383077743_2_0_0&sr_pri_blocks=563346001_383077743_2_0_0__64800000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ngan Pho Studio & Hotel,8.5,580,579126,579126,0,11.93432996,108.43670492,medium,"
15C Nhà Chung, Phường 3, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/ngan-pho-thanh-pho-da-lat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=490562717_0_2_0_0&highlighted_blocks=490562717_0_2_0_0&matching_block_id=490562717_0_2_0_0&sr_pri_blocks=490562717_0_2_0_0__57912565&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
LA VIE EN ROSE 2 Hotel,8.6,58,906525,1208700,25,11.9446767,108.4359701,medium,"
2c Nguyễn Văn Trỗi, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/la-vie-en-rose-condotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=1053549002_377543224_2_0_0&highlighted_blocks=1053549002_377543224_2_0_0&matching_block_id=1053549002_377543224_2_0_0&sr_pri_blocks=1053549002_377543224_2_0_0__90652500&from=searchresults#hotelTmpl
TTR Central Apart Hotel,8.8,417,2152911,2152911,0,11.9422246,108.4315251,High,"
4b Hải Thượng, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/ttr-central-home-condotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=879710903_0_2_0_0&highlighted_blocks=879710903_0_2_0_0&matching_block_id=879710903_0_2_0_0&sr_pri_blocks=879710903_0_2_0_0__215291053&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Thanh Thanh Villa Dalat Company,9.6,16,1260000,2800000,55,11.941108,108.433435,High,"
17A Đường Thủ Khoa Huân, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/thanh-thanh-villa-dalat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=1054752806_383574930_2_0_0&highlighted_blocks=1054752806_383574930_2_0_0&matching_block_id=1054752806_383574930_2_0_0&sr_pri_blocks=1054752806_383574930_2_0_0__126000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
LE CIMENT - Apartment Hotel,8.7,37,2400000,2400000,0,11.941264,108.433823,High,"
32 -34 Phan Như Thạch, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/le-ciment-apartment.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=941496301_369086910_2_0_0&highlighted_blocks=941496301_369086910_2_0_0&matching_block_id=941496301_369086910_2_0_0&sr_pri_blocks=941496301_369086910_2_0_0__240000000&from=searchresults#hotelTmpl
Vuon Xuan Hotel - STAY 24H,9.0,645,648000,1800000,64,11.92828875,108.44488965,medium,"
40 Đường Tô Hiến Thành, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/vuon-xuan-thanh-pho-da-lat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=885164402_383260471_2_0_0&highlighted_blocks=885164402_383260471_2_0_0&matching_block_id=885164402_383260471_2_0_0&sr_pri_blocks=885164402_383260471_2_0_0__64800000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
9Trip Stay in Dalat Center Residence - 4 Star Service Apartment,9.6,8,6066000,6066000,0,11.94409476,108.43806737,High,"
10 Phan Bội Châu, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/9trip-stay-in-dalat-center-residence.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=1093053102_383650864_2_0_0&highlighted_blocks=1093053102_383650864_2_0_0&matching_block_id=1093053102_383650864_2_0_0&sr_pri_blocks=1093053102_383650864_2_0_0__606600000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
GREENECO DA LAT HOTEL - Khách sạn Green Eco Đà Lạt,8.8,141,966747,966747,0,11.9193183,108.4361791,High,"
9A Đường Triệu Việt Vương, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/greeneco-dalat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__96674663&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Marais Hotel Dalat,8.6,42,2318400,2318400,0,11.942187,108.459021,medium,"
49/7 Đường Phạm Hồng Thái P.10, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/le-marais-dalat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=1012699401_373893340_2_1_0&highlighted_blocks=1012699401_373893340_2_1_0&matching_block_id=1012699401_373893340_2_1_0&sr_pri_blocks=1012699401_373893340_2_1_0__231840000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Fleur Premium Central Apartment,9.4,456,3845454,8181818,53,11.936713,108.438997,High,"
5 - 7A Tran Phu, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/the-la-fleur-apartment-dalat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=676183213_369154011_2_42_0&highlighted_blocks=676183213_369154011_2_42_0&matching_block_id=676183213_369154011_2_42_0&sr_pri_blocks=676183213_369154011_2_42_0__384545400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Vie En Rose Villa,8.7,78,1104125,1104125,0,11.928727,108.446066,medium,"
42 To Hien Thanh, Ward 3, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/la-vie-en-rose-villa.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__110412514&from=searchresults#hotelTmpl
Len's Hotel,8.3,161,1627730,6260500,74,11.947146,108.44044,medium,"
113 Bùi Thị Xuân, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/len-39-s-thanh-pho-da-lat1.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=433244807_264182863_2_1_0&highlighted_blocks=433244807_264182863_2_1_0&matching_block_id=433244807_264182863_2_1_0&sr_pri_blocks=433244807_264182863_2_1_0__162773000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Torino Hotel Dalat,8.1,101,1000000,1000000,0,11.940891,108.432654,medium,"
45 Đường Thủ Khoa Huân, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/torino-dalat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=1030194701_375702853_2_2_0&highlighted_blocks=1030194701_375702853_2_2_0&matching_block_id=1030194701_375702853_2_2_0&sr_pri_blocks=1030194701_375702853_2_2_0__100000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ngoc Nguyen Anh Da Lat,8.6,129,617760,792000,22,11.94670817,108.44025671,medium,"
103 Bui Thi Xuan, Ward 2, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/nguyen-anh-da-lat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=172040309_366922877_2_0_0&highlighted_blocks=172040309_366922877_2_0_0&matching_block_id=172040309_366922877_2_0_0&sr_pri_blocks=172040309_366922877_2_0_0__61776000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Sally Villa Homestay,8.3,117,1200000,1200000,0,11.9260392,108.43424969,medium,"
Sally Villa 36 Triệu Việt Vương phường 4, Da Lat, Vietnam
",https://www.booking.com/hotel/vn/sally-villa-thanh-pho-da-lat.html?label=gen173nr-1FCAEoggI46AdIM1gEaPQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALmnIerBsACAdICJGFmN2YwMzE4LTI3MzMtNGIwYy04ZmU5LWMzMWRiNzBlNzAzM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2023-12-01&checkout=2023-12-03&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=478c4aba63760165&srepoch=1700908670&all_sr_blocks=596766906_350857918_2_0_0&highlighted_blocks=596766906_350857918_2_0_0&matching_block_id=596766906_350857918_2_0_0&sr_pri_blocks=596766906_350857918_2_0_0__120000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
